name,link,rg_profile
Dr. Gowri Srinivasa,https://scholar.google.co.in/citations?user=xmJ1KmsAAAAJ&hl=en,https://www.researchgate.net/profile/Gowri_Srinivasa
Mrs. Shubha Raj K.B, https://scholar.google.com/citations?user=zV3vrfAAAAAJ&hl=en,https://www.researchgate.net/profile/Shubha_Raj_Kukkalale
Mrs. Pooja Agarwal, https://scholar.google.com/citations?user=TE8UmNEAAAAJ&hl=en,https://www.researchgate.net/profile/Pooja_Agarwal21
Ms. Swati S. Gambhire , https://scholar.google.com/citations?user=pXktmaUAAAAJ&hl=en,https://www.researchgate.net/profile/Swati_Gambhire
Dr. Snehanshu Saha, https://scholar.google.com/citations?user=PHrvjXAAAAAJ&hl=en,https://www.researchgate.net/profile/Snehanshu_Saha
Bidisha Goswami, https://scholar.google.com/citations?user=ObqOUbEAAAAJ&hl=en,https://www.researchgate.net/profile/Bidisha_Goswami
Ms. Sai Prasanna M S, https://scholar.google.com/citations?user=m962Wd4AAAAJ&hl=en,https://www.researchgate.net/profile/Sai_prasanna_M_s
Mrs. Vandana M Ladwani, https://scholar.google.com/citations?user=iaW5VSMAAAAJ&hl=en,https://www.researchgate.net/profile/Vandana_Ladwani
Dr. Sarasvathi V, https://scholar.google.com/citations?user=I8z4aR4AAAAJ&hl=en,https://www.researchgate.net/profile/Sarasvathi_Ram
Mrs. Sangeetha.R, https://scholar.google.com/citations?user=HHZ20acAAAAJ&hl=en,Nope
Surbhi Agarwal, https://scholar.google.com/citations?user=GXW-Kk0AAAAJ&hl=en,https://www.researchgate.net/profile/Surbhi_Agrawal4
Mrs. Keerti Gururaj Torvi, https://scholar.google.com/citations?user=f3fSQUsAAAAJ&hl=en,Not Found
Mr. Sandesh B. J, https://scholar.google.com/citations?user=9p7Uw-wAAAAJ&hl=en,https://www.researchgate.net/profile/Sandesh_Jayath
Sudeepa Roy, https://scholar.google.com/citations?user=5gTBHC8AAAAJ&hl=en,https://www.researchgate.net/profile/Sudeepa_Dey
Ms. Jyoti R Desai, https://scholar.google.com/citations?user=4LnvjxIAAAAJ&hl=en,Not Found
Dr. Annapurna D., https://scholar.google.com/citations?user=_LU6ZvIAAAAJ&hl=en,https://www.researchgate.net/profile/Annapurna_Dammur 
Dr. Sudarshan T. S. B, https://scholar.google.co.in/citations?user=fohsPnMAAAAJ&hl=en,https://www.researchgate.net/profile/Sudarshan_Tsb
Ms. Shruthi L,Nope,Nope
Ms. Bhuvaneswari.KJ,Nope,https://www.researchgate.net/profile/Bhuvaneswari_Kj
Mr. K S V Krishna Srikanth, https://scholar.google.com/citations?user=KRZ3Kd0AAAAJ&hl=en,https://www.researchgate.net/profile/Ksv_Srikanth
Ms. Kanthimathi S,Nope,Nope
Mrs. Neeta Ann Jacob, Nope,https://www.researchgate.net/profile/Neeta_Jacob
Mrs. Jermin Jeaunita T.C,Nope,Nope
Mrs. Shanthala P.T,Nope,Not Found
Mr. Hanumanth Pujar,Not in sheets,not in sheets 
Mrs. Sudha.Y,Not in sheets,not in sheets 
Mrs. Preethi Sangamesh,Nope,Not Found
Mrs. Rakhi Mittal Rathor,Not in sheets,not in sheets 
Mrs. Ciji,Not in sheets,not in sheets 
Mrs. Deepa.S,Not in sheets,not in sheets 
Mr. Sajeevan.K, ,https://www.researchgate.net/profile/Sajeevan_Koilerian
Dr. J Suryaprasad,,https://www.researchgate.net/profile/Suryaprasad_Jayadevappa
Suryoday Basak,https://scholar.google.com/citations?user=NO2GxBwAAAAJ&hl=en,https://www.researchgate.net/profile/Suryoday_Basak
