title,authors,journal,year
Lecture Video Indexing and Retrieval Using Topic Keywords,BJ Sandesh<comma> S Jirgi<comma> S Vidya<comma> P Eljer<comma> G Srinivasa,World Academy of Science<comma> Engineering and Technology<comma> International Journal�…<comma> 2017,2017
A framework for the automated generation of paradigm-adaptive summaries of games,BJ Sandesh<comma> G Srinivasa,International Journal of Computer Applications in Technology 55 (4)<comma> 276-288<comma> 2017,2017
Text-mining based localisation of player-specific events from a game-log of cricket,BJ Sandesh<comma> G Srinivasa,International Journal of Computer Applications in Technology 55 (3)<comma> 213-221<comma> 2017,2017
Stringing Subtitles in Sign Language,T Dharamsi<comma> R Jawahar<comma> K Mahesh<comma> G Srinivasa,Technology for Education (T4E)<comma> 2016 IEEE Eighth International Conference on�…<comma> 2016,2016
Comprehensive Retinal Image Analysis for Aggressive Posterior Retinopathy of Prematurity,D Rajashekar<comma> G Srinivasa<comma> A Vinekar,PloS one 11 (10)<comma> e0163923<comma> 2016,2016
Comparison of algorithms for segmentation of blood vessels in fundus images,TD Prakash<comma> D Rajashekar<comma> G Srinivasa,Applied and Theoretical Computing and Communication Technology (iCATccT�…<comma> 2016,2016
Detection of multiple<comma> co-occurring actions in video frames,R Devi<comma> A Srinivasa<comma> G Srinivasa,Wireless Communications<comma> Signal Processing and Networking (WiSPNET�…<comma> 2016,2016
Adaptive multimodal communication assist system,G Srinivasa<comma> H Lilha,US Patent 8<comma>793<comma>118<comma> 2014,2014
Automated classification of cricket pitch frames in cricket video,SB Jayanth<comma> G Srinivasa,ELCVIA Electronic Letters on Computer Vision and Image Analysis 13 (1)<comma> 2014,2014
Contour-traversal based algorithm for insertion of virtual advertisements in videos,A Hegde<comma> DA Kumar<comma> G Srinivasa,Communication<comma> Information & Computing Technology (ICCICT)<comma> 2012�…<comma> 2012,2012
A compact feature set for recognition of handwritten numerals and vowels in the Kanarese script,R Santhosh<comma> G Srinivasa,Proceedings of the International Conference on Advances in Computing�…<comma> 2012,2012
Spatial localization and color histograms based insertion of virtual advertisements in videos,A Hegde<comma> DA Kumar<comma> G Srinivasa,Data Science & Engineering (ICDSE)<comma> 2012 International Conference on<comma> 90-93<comma> 2012,2012
www. elsevier. com/locate/acha,A Aldroubi<comma> A Averbuch<comma> WU Bajwa<comma> P Balazs<comma> DC Balcan<comma> RG Baraniuk<comma> ...,Appl. Comput. Harmon. Anal 33<comma> 473<comma> 2012,2012
