title,authors,journal,year
Task-Enabled Instruction Cache Partitioning Scheme for Embedded System,BR Upadhyay     TSB Sudarshan,Proceedings of First International Conference on Smart System  Innovations�…  2018,2018
A Study of Memory Access Patterns as an Indicator of Performance in High-Level Synthesis,M Belwal     TSB Sudarshan,Proceedings of First International Conference on Smart System  Innovations�…  2018,2018
Error Resilient Multipath Video Delivery on Wireless Overlay Networks,U Maheswari     TSB Sudarshan,TELKOMNIKA (Telecommunication Computing Electronics and Control) 14 (3)  894-903  2016,2016
Energy Efficient Cache Node Placement Using Genetic Algorithm with Probabilistic Delta Consistency Using Flexible Combination of Push and Pull Algorithm for Wir...,JR Srivastava     TSB Sudarshan,International Workshop Soft Computing Applications  143-163  2016,2016
Cache coherence: A walkthrough of mechanisms and challenges,N Parvathy     BR Upadhyay     TSB Sudarshan,Electrical  Electronics  and Optimization Techniques (ICEEOT)  International�…  2016,2016
Reputation based mesh-tree-mesh cluster hybrid architecture for P2P live streaming,BU Maheswari     TSB Sudarshan,Devices  Circuits and Systems (ICDCS)  2016 3rd International Conference on�…  2016,2016
Design space exploration of cache memory—A survey,BR Upadhyay     TSB Sudarshan,Electrical  Electronics  and Optimization Techniques (ICEEOT)  International�…  2016,2016
Pipelined architecture for filter bank based 1-D DWT,I Mamatha     S Tripathi     TSB Sudarshan,Signal Processing and Integrated Networks (SPIN)  2016 3rd International�…  2016,2016
Multi-view Robotic Time Series Data Clustering and Analysis Using Data Mining Techniques,M Reshma     PC Nair     R Gopalapillai     D Gupta     TSB Sudarshan,Advances in Signal Processing and Intelligent Recognition Systems  521-531  2016,2016
A genetic fuzzy system based optimized zone based energy efficient routing protocol for mobile sensor networks (OZEEP),JR Srivastava     TSB Sudarshan,Applied Soft Computing 37  863-886  2015,2015
3 axis SCARA robot with universal gripper,A Balaji     NK AA     TSB Sudarshan,Trends in Automation  Communications and Computing Technology (I-TACT-15�…  2015,2015
Stable route AODV routing protocol for mobile wireless sensor networks,M Rajesh     K Vanishree     TSB Sudarshan,Computing and Network Communications (CoCoNet)  2015 International�…  2015,2015
Energy efficient deployment of Wireless Sensor Network by multiple mobile robots,M Rajesh     A George     TSB Sudarshan,Computing and Network Communications (CoCoNet)  2015 International�…  2015,2015
Modified MLBF based architecture for 1-D DWT,SVBB Sai     I Mamatha     S Tripathi     TSB Sudarshan,Computational Intelligence and Computing Research (ICCIC)  2015 IEEE�…  2015,2015
Clustering of robotic environment using image data stream,PC Nair     G Radhakrishnan     D Gupta     TSB Sudarshan,Communication  Control and Intelligent Systems (CCIS)  2015  208-213  2015,2015
Energy-efficient cache node placement using genetic algorithm in wireless sensor networks,JR Srivastava     TSB Sudarshan,Soft Computing 19 (11)  3145-3158  2015,2015
An ECDD technique to optimize QoS in wireless overlay network for multipath video streaming,BU Maheswari     TSB Sudarshan,Applied and Theoretical Computing and Communication Technology (iCATccT�…  2015,2015
Triple-Matrix Product-Based 2D Systolic Implementation of Discrete Fourier Transform,I Mamatha     TSB Sudarshan     S Tripathi     N Bhattar,Circuits  Systems  and Signal Processing 34 (10)  3221-3239  2015,2015
Enabling seamless execution on hybrid CPU/FPGA systems: Challenges & directions,M Belwal     M Purnaprajna     TSB Sudarshan,Field Programmable Logic and Applications (FPL)  2015 25th International�…  2015,2015
Experimentation and analysis of time series data from multi-path robotic environment,G Radhakrishnan     D Gupta     S Sindhuula     S Khokhawat     TSB Sudarshan,Electronics  Computing and Communication Technologies (CONECCT)  2015 IEEE�…  2015,2015
Path Mapping and Planning with Partially Known Paths Using Hierarchical State Machine for Service Robot,AAN Kumaar     TSB Sudarshan,Robot Intelligence Technology and Applications 3: Results from the 3rd�…  2015,2015
Fenwick Tree Based Capability--Aware Live Multimedia Streaming in Sparse MANETs.,BU Maheswari     TSB Sudarshan,International Journal of Applied Engineering Research 10 (5)  2015,2015
Systolic architecture implementation of 1D DFT and 1D DCT,I Mamatha     JN Raj     S Tripathi     TSB Sudarshan,Signal Processing  Informatics  Communication and Energy Systems (SPICES�…  2015,2015
